TeamAbbreviation,TeamName
ARS,Arsenal
AVA,Aston Villa
BIR,Birmingham City
BIR,Birmingham
BOL,Bolton Wanderers
BOL,Bolton
BOU,AFC Bournemouth
BOU,Bournemouth
BLB,Blackburn Rovers
BLB,Blackburn
BLA,Blackpool
BRE,Brentford
BRH,Brighton & Hove Albion
BRH,Brighton
BRA,Bradford City
BRA,Bradford
BRI,Bristol City
BUR,Burnley
CAR,Cardiff City
CAR,Cardiff
CHA,Charlton
CHE,Chelsea
COV,Coventry CitCy
COV,Coventry
CRY,Crystal Palace
DER,Derby County
DER,Derby
EVE,Everton
FUL,Fulham
HUD,Huddersfield Town
HUD,Huddersfield
HUL,Hull City
HUL,Hull
IPS,Ipswich
LEE,Leeds United
LEE,Leeds
LEI,Leicester City
LEI,Leicester
LIV,Liverpool
MCI,Manchester City
MCI,Man City
MID,Middlesbrough
MUN,Manchester United
MUN,Man United
NEW,Newcastle United
NEW,Newcastle
NOR,Norwich City
NOR,Norwich
POR,Portsmouth
QPR,Queens Park Rangers
QPR,QPR
REA,Reading
SHU,Sheffield United
SOU,Southampton
STO,Stoke City
STO,Stoke
SUN,Sunderland AFC
SUN,Sunderland
SWA,Swansea City
SWA,Swansea
TOT,Tottenham Hotspur
TOT,Tottenham
WAT,Watford
WBA,West Bromwich Albion
WBA,West Brom
WHU,West Ham United
WHU,West Ham
WIG,Wigan Athletic
WIG,Wigan
WLV,Wolverhampton Wanderers
WLV,Wolves
